ALG,GATES,PLANES,TIME
FCFS,6,18,152.6666667
FCFS,1,6,72.42857143
FCFS,6,24,180
FCFS,7,4,64.5
FCFS,4,15,132.9047619
FCFS,2,22,162.7
FCFS,9,23,167
FCFS,5,18,146.6521739
FCFS,1,20,148.1666667
FCFS,8,1,44.5
FCFS,6,17,143.0909091
FCFS,6,9,98.82608696
FCFS,7,12,119.3
FCFS,9,11,103.3333333
FCFS,1,19,134.3333333
FCFS,7,5,89
FCFS,6,4,64.5
FCFS,7,13,129.25
FCFS,9,13,121
FCFS,4,1,40
FCFS,9,24,173.2173913
FCFS,5,5,72.52631579
FCFS,3,23,200
FCFS,4,11,113.2105263
FCFS,5,23,174.9166667
FCFS,9,21,165
FCFS,6,6,79.46153846
FCFS,8,22,169.1
FCFS,2,18,144.2
FCFS,8,3,60.43478261
FCFS,4,9,99.47058824
FCFS,5,8,93.85714286
FCFS,6,8,90.65217391
FCFS,3,24,181.4285714
FCFS,7,10,101.0833333
FCFS,6,17,144.8333333
FCFS,7,18,140.2
FCFS,8,13,123.75
FCFS,1,14,108.9473684
FCFS,5,15,122
FCFS,8,3,58.125
FCFS,1,3,63.5
FCFS,6,5,72.875
FCFS,5,4,68
FCFS,3,23,184.6363636
FCFS,5,22,168.5
FCFS,1,23,152
FCFS,4,19,163.5714286
FCFS,8,17,134.6666667
FCFS,7,13,119.3125
FCFS,7,20,159.2
FCFS,9,7,89
FCFS,3,2,46.09090909
FCFS,5,7,86.1875
FCFS,6,3,54.91666667
FCFS,6,14,132.4
FCFS,6,10,103.7857143
FCFS,6,1,40.71428571
FCFS,3,18,152.9
FCFS,4,8,95.27272727
FCFS,7,9,95.42857143
FCFS,3,17,149.4285714
FCFS,7,8,92.78947368
FCFS,8,23,176.6666667
FCFS,7,12,129.8
FCFS,6,15,130.6153846
FCFS,2,23,170.2
FCFS,1,2,45.85714286
FCFS,8,20,155.5
FCFS,5,17,135.3333333
FCFS,7,1,42.21428571
FCFS,9,10,106.6521739
FCFS,4,3,56.7
FCFS,3,11,118.6666667
FCFS,5,6,80.76190476
FCFS,5,10,100.7894737
FCFS,2,22,160.75
FCFS,4,15,133.1764706
FCFS,3,1,35.14285714
FCFS,8,18,146.9285714
FCFS,6,17,143.8461538
FCFS,9,19,146.75
FCFS,1,6,67.5
FCFS,5,18,150
