ALGORITHM,GATES,PLANES,TIME,,,
FWCHECK,3,12,143,,,
FWCHECK,6,19,208.5714286,,,
FWCHECK,3,24,255.7142857,,,
FWCHECK,5,24,252,,,
FWCHECK,3,8,111.4705882,,,
FWCHECK,2,2,59.5,,,
FWCHECK,8,22,214,,,
FWCHECK,9,12,145.4736842,,,
FWCHECK,8,8,116.6,,,
FWCHECK,2,24,428.0769231,,,
FWCHECK,4,16,182.8,,,
FWCHECK,7,6,89.39130435,,,
FWCHECK,9,1,45.54545455,,,
FWCHECK,2,24,447.5,,,
FWCHECK,5,23,242.2222222,,,
FWCHECK,7,18,194.3478261,,,
FWCHECK,2,16,303,,,
FWCHECK,1,5,64.125,,,
FWCHECK,9,8,110.5238095,,,
FWCHECK,5,2,51.5,,,
FWCHECK,9,19,201,,,
FWCHECK,3,24,238,,,
FWCHECK,1,19,133,,,
FWCHECK,1,18,126.75,,,
FWCHECK,9,20,196,,,
FWCHECK,6,11,138.1764706,,,
FWCHECK,6,6,94.83333333,,,
FWCHECK,4,13,144.5,,,
FWCHECK,5,22,222.9583333,,,
FWCHECK,9,2,55,,,
FWCHECK,9,17,187.2105263,,,
FWCHECK,2,18,326.1666667,,,
FWCHECK,9,6,95,,,
FWCHECK,9,20,224.6,,,
FWCHECK,9,12,149.9411765,,,
FWCHECK,4,3,60.8,,,
FWCHECK,9,5,89.5,,,
FWCHECK,8,19,194.1818182,,,
FWCHECK,3,16,186,,,
FWCHECK,1,3,57.375,,,
FWCHECK,7,21,207.5238095,,,
FWCHECK,1,18,123.25,,,
FWCHECK,1,17,127,,,
FWCHECK,2,13,242.6666667,,,
FWCHECK,4,7,105.8,,,
FWCHECK,1,10,92,,,
FWCHECK,7,20,216,,,
FWCHECK,8,3,65.5,,,
FWCHECK,9,9,112,,,
FWCHECK,1,14,115.3333333,,,
FWCHECK,2,14,270.5,,,
FWCHECK,9,8,117.0952381,,,
FWCHECK,7,13,150.1428571,,,
FWCHECK,4,3,63.25,,,
FWCHECK,7,11,133.625,,,
FWCHECK,5,20,199.0555556,,,
FWCHECK,3,8,117,,,
FWCHECK,3,5,81.6,,,
FWCHECK,7,20,212.125,,,
FWCHECK,4,4,74.14285714,,,
FWCHECK,2,23,434.6,,,
FWCHECK,9,19,204.5416667,,,
FWCHECK,9,18,182,,,
FWCHECK,8,9,120.9166667,,,
FWCHECK,7,16,177.25,,,
FWCHECK,7,18,181.7777778,,,
FWCHECK,5,7,102,,,
FWCHECK,3,18,208.5,,,
FWCHECK,4,19,208.55,,,
FWCHECK,5,14,154.6,,,
FWCHECK,4,10,138.4,,,
FWCHECK,2,16,302.4444444,,,
FWCHECK,7,8,119,,,
FWCHECK,1,17,124.9444444,,,
FWCHECK,9,23,224.8461538,,,
FWCHECK,5,22,224.2222222,,,
FWCHECK,1,24,160.4285714,,,
FWCHECK,8,17,173.5,,,
FWCHECK,3,19,206.0909091,,,
FWCHECK,9,5,86.47826087,,,
FWCHECK,2,6,127.5714286,,,
FWCHECK,9,7,104.6363636,,,
FWCHECK,9,23,227.3076923,,,
FWCHECK,4,3,59.46666667,,,
FWCHECK,6,11,147,,,
FWCHECK,8,22,220.4545455,,,
FWCHECK,9,11,132,,,
FWCHECK,6,6,92.14285714,,,
FWCHECK,7,4,73.09090909,,,
FWCHECK,9,12,147,,,
FWCHECK,2,9,182.2272727,,,
FWCHECK,5,4,71,,,
FWCHECK,6,2,53.59090909,,,
FWCHECK,9,21,233,,,
FWCHECK,8,24,240.8571429,,,
FWCHECK,3,2,50.25,,,
FWCHECK,8,12,159.8333333,,,
FWCHECK,7,17,190,,,
FWCHECK,9,18,195.5,,,
FWCHECK,2,1,36.46666667,,,
FWCHECK,5,24,247.5,,,
FWCHECK,7,17,173.5,,,
FWCHECK,3,8,114.1428571,,,
FWCHECK,8,13,146.75,,,
FWCHECK,6,5,82.25,,,
FWCHECK,3,7,104.6956522,,,
FWCHECK,1,20,132.7058824,,,
FWCHECK,1,8,85.81818182,,,
FWCHECK,6,11,128,,,
FWCHECK,4,16,185.1,,,
FWCHECK,1,8,79.15384615,,,
FWCHECK,9,19,200,,,
FWCHECK,3,12,142.1666667,,,
FWCHECK,7,10,129,,,
FWCHECK,9,3,68.08333333,,,
FWCHECK,5,8,129,,,
FWCHECK,5,3,61.8,,,
FWCHECK,2,22,395.3529412,,,
FWCHECK,6,20,231,,,
FWCHECK,3,2,48.16666667,,,
FWCHECK,7,22,222.6666667,,,
FWCHECK,2,16,298.1904762,,,
FWCHECK,4,15,183.1578947,,,
FWCHECK,8,12,149.25,,,
FWCHECK,4,15,178.2916667,,,
FWCHECK,2,12,227.625,,,
FWCHECK,2,24,363,,,
FWCHECK,5,6,99,,,
FWCHECK,4,20,227.2083333,,,
FWCHECK,9,12,149.1904762,,,
FWCHECK,4,1,38.83333333,,,
FWCHECK,5,1,41,,,
FWCHECK,5,3,53.66666667,,,
FWCHECK,7,7,104,,,
FWCHECK,6,13,164,,,
FWCHECK,3,18,193.9375,,,
FWCHECK,3,19,210.9473684,,,
FWCHECK,1,11,95.75,,,
FWCHECK,6,23,234.75,,,
FWCHECK,8,22,235.75,,,
FWCHECK,2,22,390.9,,,
FWCHECK,5,11,135.4545455,,,
FWCHECK,6,23,243.7777778,,,
FWCHECK,4,6,95.08695652,,,
FWCHECK,7,7,105.0588235,,,
FWCHECK,7,3,60.5,,,
FWCHECK,1,8,79.59090909,,,
FWCHECK,7,2,57.33333333,,,
FWCHECK,6,19,199.1764706,,,
FWCHECK,1,22,143,,,
FWCHECK,2,23,417.952381,,,
FWCHECK,4,24,264.6875,,,
FWCHECK,1,16,118.2142857,,,
FWCHECK,7,8,125,,,
FWCHECK,5,21,212.3888889,,,
FWCHECK,2,19,349.6956522,,,
FWCHECK,8,18,199.8888889,,,
FWCHECK,6,6,93.04166667,,,
FWCHECK,8,17,184.5263158,,,
FWCHECK,6,18,212.6363636,,,
FWCHECK,1,24,157.6818182,,,
FWCHECK,3,2,51.15384615,,,
FWCHECK,3,2,54,,,
FWCHECK,4,20,231.3333333,,,
FWCHECK,1,18,128.2666667,,,
FWCHECK,2,9,182.7142857,,,
FWCHECK,9,19,215.6,,,
FWCHECK,2,2,61,,,
FWCHECK,7,21,212.2,,,
FWCHECK,3,22,231.1333333,,,
FWCHECK,9,4,80.14285714,,,
FWCHECK,3,7,101.7272727,,,
FWCHECK,8,5,88.05555556,,,
FWCHECK,7,19,197.5,,,
FWCHECK,9,24,236,,,
FWCHECK,5,10,138.3636364,,,
FWCHECK,4,12,149.7333333,,,
FWCHECK,9,6,89.06666667,,,
FWCHECK,9,11,133.8823529,,,
FWCHECK,2,9,181.3636364,,,
FWCHECK,2,14,261.7857143,,,
FWCHECK,7,19,223.5,,,
FWCHECK,5,4,69.92307692,,,
FWCHECK,2,14,267.5294118,,,
FWCHECK,1,23,155.4545455,,,
FWCHECK,1,15,119.7142857,,,
FWCHECK,5,19,206.8571429,,,
FWCHECK,4,1,38.71428571,,,
FWCHECK,9,23,231.6956522,,,
FWCHECK,8,19,198.4782609,,,
FWCHECK,8,20,216.9,,,
FWCHECK,2,17,312.2857143,,,
FWCHECK,2,19,329.3076923,,,
FWCHECK,3,23,243,,,
FWCHECK,9,22,218,,,
FWCHECK,3,5,87,,,
FWCHECK,8,10,131.3333333,,,
FWCHECK,6,15,165.5,,,
